name,country_name,longitude,latitude,population,significance
Oak Park,United States,41.88503,-87.7845,52287,3322503052
Mansoûra,Algeria,34.86158,-1.33935,52285,173083560
Shūsh,Iran,32.1942,48.2436,52284,119340942
Ponticelli,Italy,40.8542,14.33038,52284,1656158551
Songling,China,40.29303,118.26908,52277,548929182
Aïn Defla,Algeria,36.26405,1.9679,52276,173053766
Florissant,United States,38.78922,-90.32261,52268,3321295724
Fryazino,Russian Federation,55.96056,38.04556,52255,537945746
Sammamish,United States,47.64177,-122.0804,52253,3320342570
Maluñgun,Philippines,6.27917,125.28167,52248,172357262
Matamoros,Mexico,25.52699,-103.2285,52233,435973305
Hervey Bay,Australia,-25.28762,152.76936,52230,2706148805
Dapeng,China,34.28436,117.07522,52219,548320159
Taxco de Alarcón,Mexico,18.55462,-99.60592,52217,435839758
Sanzhuang,China,35.50333,119.17167,52214,548267657
Zarinsk,Russian Federation,53.7074,84.9493,52209,537472193
Wakefield,United States,40.89788,-73.85236,52201,3317038304
Ban Talat Yai,Thailand,7.88481,98.40008,52192,375210471
Erbaa,Turkey,40.66889,36.5675,52185,445564352
Tavşanlı,Turkey,39.54237,29.49866,52182,445538738
Arandas,Mexico,20.70519,-102.34635,52175,435489197
Albany,United States,44.63651,-123.10593,52175,3315386171
Sarpsborg,Norway,59.28391,11.10962,52159,3514990422
Sandwīp,Bangladesh,22.51409,91.45491,52152,102676452
Jitai,China,36.75724,118.73866,52144,547532629
Crosby,United Kingdom,53.47778,-3.03333,52140,2100441049
Hoffman Estates,United States,42.04281,-88.0798,52138,3313035059
Nyagan,Russian Federation,62.14056,65.39361,52137,536730980
Reigate,United Kingdom,51.23736,-0.20582,52123,2099756210
Sar-e Pul,Afghanistan,36.21544,65.93249,52121,26519603
Tarbes,France,43.23407,0.07139,52106,2033715958
Pārvatipuram,India,18.78392,83.42569,52085,98998314
Albany Park,United States,41.96836,-87.72339,52079,3309285988
Fontenay-sous-Bois,France,48.85442,2.48268,52075,2032506016
Oumé,Ivory Coast,6.38309,-5.41759,52070,121100433
Kimry,Russian Federation,56.86667,37.35,52070,536041239
Mouscron,Belgium,50.74497,3.20639,52069,2321984674
Ar Riqqah,Kuwait,29.14583,48.09472,52068,1660552229
Ta Khmau,Cambodia,11.48333,104.95,52066,78761683
Zizhuang,China,34.36152,117.48816,52063,546682097
Huesca,Spain,42.13615,-0.4087,52059,1408882812
Walvis Bay,Namibia,-22.9575,14.50528,52058,219218889
Děčín,Czech Republic,50.78215,14.21478,52058,1193805767
Norton,Zimbabwe,-17.88333,30.7,52054,58727880
Liangji,China,33.96389,117.96944,52048,546524591
Methuen,United States,42.7262,-71.19089,52044,3307061962
Thomazeau,Haiti,18.65297,-72.09391,52017,61211307
Kariya,Japan,34.75136,134.38734,52015,2056614805
Glendora,United States,34.13612,-117.86534,52009,3304837937
Lamía,Greece,38.9,22.43333,52006,919268066
Sātkania,Bangladesh,22.07639,92.04955,52005,102387040
Levoberezhnyy,Russian Federation,55.85,37.48333,52000,535320616
Huamantla,Mexico,19.31451,-97.9252,51996,433995137
Biguaçu,Brazil,-27.49417,-48.65556,51992,353381541
Busia,Kenya,0.46005,34.11169,51981,95551992
Batatais,Brazil,-20.89111,-47.585,51976,353272792
Dunstable,United Kingdom,51.88571,-0.52288,51973,2093713514
Ciudad Piar,Venezuela,7.45209,-63.31992,51967,881516984
Rio do Sul,Brazil,-27.21417,-49.64306,51944,353055293
Arcot,India,12.90569,79.31897,51943,98728414
Kepanjen,Indonesia,-8.1303,112.5727,51919,200905162
Queens Village,United States,40.72677,-73.74152,51919,3299119015
Dashahe,China,34.53847,116.62453,51916,545138539
Usulután,El Salvador,13.35,-88.45,51910,197187222
Brookhaven,United States,33.85844,-84.3402,51910,3298547123
Gwadar,Pakistan,25.12163,62.32541,51901,61955957
Évry,France,48.6328,2.44049,51900,2025675703
La Tirana,Chile,-20.28382,-70.12673,51896,686672522
Jhālāwār,India,24.59633,76.16499,51884,98616272
Corralillo,Cuba,22.98212,-80.58556,51881,472386405
Levittown,United States,40.72593,-73.51429,51881,3296704359
Meybod,Iran,32.25014,54.01658,51874,118405095
Sa'dah,Yemen,16.94021,43.76393,51870,40844703
Palm Desert,United States,33.72255,-116.37697,51869,3295941836
Zhongxin,China,26.61667,101.27154,51866,544613519
Bad Homburg vor der Höhe,Germany,50.22683,8.61816,51859,2396322944
Tacuarembó,Uruguay,-31.71694,-55.98111,51854,800543399
Willich,Germany,51.26371,6.54734,51843,2395583609
Puertollano,Spain,38.68712,-4.10734,51842,1403010099
Diyarb Najm,Egypt,30.75438,31.44016,51841,183925173
Weimiao,China,34.58333,117.06667,51820,544130501
Petlād,India,22.47681,72.79995,51819,98492726
Joplin,United States,37.08423,-94.51328,51818,3292701114
Blora,Indonesia,-6.9698,111.4186,51811,200487246
Karlovy Vary,Czech Republic,50.23271,12.87117,51807,1188049779
Umred,India,20.85396,79.32466,51794,98445209
Orhangazi,Turkey,40.48917,29.30889,51792,442208852
Enid,United States,36.39559,-97.87839,51776,3290032284
Calvià,Spain,39.5657,2.50621,51774,1401169802
Talagante,Chile,-33.66386,-70.92734,51764,684925937
Bhātāpāra,India,21.735,81.94711,51751,98363478
Qishan,China,34.63333,116.8,51750,543395473
Kāliyāganj,India,25.63442,88.32665,51748,98357776
Nasīrābād,India,26.30473,74.73364,51747,98355875
Ijebu-Jesa,Nigeria,7.68287,4.81769,51730,108482594
Miyako,Japan,39.64691,141.94057,51721,2044990374
Vidnoye,Russian Federation,55.55239,37.70967,51721,532448415
Qoryooley,Somalia,1.78784,44.52999,51720,16002967
Latacunga,Ecuador,-0.93521,-78.61554,51717,289635350
Telerghma,Algeria,36.11653,6.35434,51708,171173467
Bonita Springs,United States,26.33981,-81.7787,51704,3285457146
Irondequoit,United States,43.2134,-77.57972,51692,3284694623
Caldwell,United States,43.66294,-116.68736,51686,3284313362
Minnetonka,United States,44.9133,-93.50329,51669,3283233121
Bitonto,Italy,41.11006,16.69086,51661,1636424277
Liuquan,China,34.43417,117.29833,51657,542418936
Pirapora,Brazil,-17.345,-44.94194,51656,351097802
Futtsu,Japan,35.3108,139.81877,51650,2042183114
Morecambe,United Kingdom,54.06835,-2.86108,51644,2080459868
Idappadi,India,11.58624,77.83891,51642,98156301
Pedregal,Panama,9.0661,-79.42577,51641,633585959
Gohadi,India,26.43278,78.44205,51635,98142996
Sagrada Família,Spain,41.40408,2.17332,51623,1397083260
Pinellas Park,United States,27.8428,-82.69954,51617,3279928855
Sarpol-e Z̄ahāb,Iran,34.46109,45.86264,51611,117804784
Cumbernauld,United Kingdom,55.94685,-3.99051,51610,2079090191
Tagawa,Japan,33.63333,130.8,51608,2040522481
Battle Creek,United States,42.3173,-85.17816,51589,3278149635
Maha Sarakham,Thailand,16.18483,103.30067,51584,370839534
Khagaul,India,25.57898,85.04564,51577,98032755
Yūki,Japan,36.3,139.88333,51574,2039178159
At Tall al Kabīr,Egypt,30.54323,31.78504,51569,182960152
Redhill,United Kingdom,51.24048,-0.17044,51559,2077035674
Barinitas,Venezuela,8.76171,-70.41199,51556,874545185
Tachilek,Myanmar,20.4475,99.88083,51553,72185451
Minokamo,Japan,35.48199,137.02166,51543,2037952454
Maubin,Myanmar,16.73148,95.65441,51542,72170049
Takāb,Iran,36.4009,47.1133,51541,117645006
Emden,Germany,53.36745,7.20778,51526,2380935537
Amparafaravola,Madagascar,-17.5876,48.22391,51519,25527170
Talā,Egypt,30.6798,30.94364,51498,182708253
Arganda,Spain,40.30076,-3.43722,51489,1393456792
Miura,Japan,35.14,139.61917,51483,2035580121
Agustín Codazzi,Colombia,10.03672,-73.23558,51478,274520515
Zhefang,China,24.26667,98.28333,51477,540528865
Horsham,United Kingdom,51.06314,-0.32757,51472,2073530911
Casa Grande,United States,32.8795,-111.75735,51460,3269952513
Içara,Brazil,-28.71333,-49.3,51454,349724839
South Shore,United States,41.76198,-87.57783,51451,3269380621
Mott Haven,United States,40.80899,-73.92291,51450,3269317077
The Villages,United States,28.93408,-81.95994,51442,3268808729
Grand Island,United States,40.92501,-98.34201,51440,3268681641
Chiplūn,India,17.53339,73.50935,51437,97766656
Bezerros,Brazil,-8.23333,-35.79694,51436,349602496
Slonim,Belarus,53.0869,25.3163,51434,329755091
Changanācheri,India,9.44203,76.53604,51430,97753351
Jendouba,Tunisia,36.50114,8.78024,51408,170665256
Grapevine,United States,32.93429,-97.07807,51404,3266394073
Clamart,France,48.80299,2.26692,51400,2006160523
Monkayo,Philippines,7.81528,126.05444,51393,169536763
Neu-Ulm,Germany,48.39279,10.01112,51389,2374604982
Stratford,United States,41.18454,-73.13317,51384,3265123201
Uriangato,Mexico,20.14085,-101.18251,51382,428870262
Quíbor,Venezuela,9.92866,-69.6201,51377,871508806
Patiya,Bangladesh,22.29543,91.979,51360,101117169
Kentwood,United States,42.86947,-85.64475,51357,3263407524
Tarma,Peru,-11.41899,-75.68992,51350,314615008
Tulun,Russian Federation,54.56358,100.58143,51330,528423215
Lingen,Germany,52.52143,7.31845,51310,2370954516
